feature	logFC	AveExpr	t	P.Value	adj.P.Val	B	name	name_lipid1	name_lipid3	identity	abbreviation	composition	pre_fatty_acid_length	n_doub_bonds	definition	m_z	rt	main_fat_acd_length_num	main_fat_acd_length_fct	definition2
LPC 16:1_493.31622_2.66	0.45176317804503563	14.723353890695298	1.3712300985103547	0.19633501544309714	0.3673204910337654	-5.792403458316014	LPC 16:1	LPC 16:1	LPC 16:1	LPC 16:1	LPC	16:1	16	1	LPC	493.31622	2.66	16	16	LPC 16:1
NA_547.53191_23.35	-0.336256568410037	10.63289851447423	-1.3686400605157913	0.19712126174932326	0.3675579858819259	-5.792459532260101	NA	NA	NA	NA	NA	NA	NA	NA	NA	547.53191	23.35	NA	NA	NA
NA_831.50147_7.78	0.2577455220203874	12.866608600318335	1.3798992470898566	0.19372228443786071	0.36520713225150786	-5.79487561454114	NA	NA	NA	NA	NA	NA	NA	NA	NA	831.50147	7.78	NA	NA	NA
PC 42:7_859.60914_8.86	0.23512491927524065	12.21265958408846	1.378633950675578	0.19410181117517272	0.36537947369169127	-5.796985435734034	PC 42:7	PC 42:7	PC 42:7	PC 42:7	PC	42:7	42	7	PC	859.60914	8.86	42	42	PC 42:7
NA_847.68721_13.63	0.41947410624431897	11.944934937203367	1.3690930103498082	0.19698357360018554	0.3675579858819259	-5.797705167987676	NA	NA	NA	NA	NA	NA	NA	NA	NA	847.68721	13.63	NA	NA	NA
PI 38:3; PI 18:0 20:3_888.56981_7.7	-0.31584931550833434	17.75346208529644	-1.3864960324873883	0.19175356386113937	0.36390565230536226	-5.799168354526418	PI 38:3; PI 18:0 20:3	PI 38:3	PI 38:3	PI 38:3	PI	38:3	38	3	PI	888.56981	7.7	38	38	PI 38:3
NA_813.54999_12.8	0.1743922930275247	11.678594962964238	1.3247720611765366	0.21083864204105357	0.38147500064207573	-5.8005678623517305	NA	NA	NA	NA	NA	NA	NA	NA	NA	813.54999	12.8	NA	NA	NA
NA_923.66533_10.91	0.7734256067462977	13.521111886638337	1.3849965690406068	0.19219958832566195	0.363943344634402	-5.801074181090114	NA	NA	NA	NA	NA	NA	NA	NA	NA	923.66533	10.91	NA	NA	NA
NA_342.14655_2.27	-0.38496491014388545	13.712885491155955	-1.3249653275224196	0.2107765306252196	0.38147500064207573	-5.803403934468779	NA	NA	NA	NA	NA	NA	NA	NA	NA	342.14655	2.27	NA	NA	NA
PC O-36:4_767.58084_10.55	-0.26246712453411236	13.905833815877708	-1.3576816967423806	0.200476789180382	0.3721802369192084	-5.805465029552261	PC O-36:4	PC 36:4	PC 36:4	PC O-36:4	PC	O-36:4	36	4	PC	767.58084	10.55	36	36	PC O-36:4
NA_733.50485_7.82	-0.3952310593302	11.172453563423197	-1.374405218886161	0.19537471214508895	0.3663910732470381	-5.807168777052117	NA	NA	NA	NA	NA	NA	NA	NA	NA	733.50485	7.82	NA	NA	NA
NA_574.49556_7	0.25955120492130207	14.158781097240931	1.3413603637778562	0.20556194370473935	0.3765920548416584	-5.813967118709041	NA	NA	NA	NA	NA	NA	NA	NA	NA	574.49556	7	NA	NA	NA
TG 52:2_858.76499_23.92	-0.3830596216621105	13.493149016638402	-1.3697412729549374	0.1967866529108047	0.3675579858819259	-5.814171466809091	TG 52:2	TG 52:2	TG 52:2	TG 52:2	TG	52:2	52	2	TG	858.76499	23.92	52	52	TG 52:2
NA_815.5644_8.96	0.26790783815434727	13.158195255430337	1.325499961197889	0.21060478963763685	0.38147500064207573	-5.81672803408985	NA	NA	NA	NA	NA	NA	NA	NA	NA	815.5644	8.96	NA	NA	NA
NA_875.67148_11.78	-0.2240157206674157	13.586489702779627	-1.3476944415150263	0.20357597896664673	0.3751560285771345	-5.822257547244979	NA	NA	NA	NA	NA	NA	NA	NA	NA	875.67148	11.78	NA	NA	NA
NA_643.62627_11.63	0.7034488590700941	13.184967942457115	1.3530637579586502	0.20190492136964205	0.3736225413860765	-5.825777718295016	NA	NA	NA	NA	NA	NA	NA	NA	NA	643.62627	11.63	NA	NA	NA
NA_921.51611_7.39	0.2914843538357987	11.254221288885267	1.3475784605325292	0.2036122005216649	0.3751560285771345	-5.8283667860545245	NA	NA	NA	NA	NA	NA	NA	NA	NA	921.51611	7.39	NA	NA	NA
